Tree	MatchingSplit	MatchingSplit_toYuleAvg	MatchingSplit_toUnifAvg
304	0.0000	0.0000	0.0000
305	2.0000	1.4184	1.4514
306	2.0000	1.4184	1.4514
307	2.0000	1.4184	1.4514
308	2.0000	1.4184	1.4514
309	2.0000	1.4184	1.4514
310	2.0000	1.4184	1.4514
311	2.0000	1.4184	1.4514
312	2.0000	1.4184	1.4514
313	2.0000	1.4184	1.4514
314	0.0000	0.0000	0.0000
315	0.0000	0.0000	0.0000
316	2.0000	1.4184	1.4514
317	2.0000	1.4184	1.4514
318	0.0000	0.0000	0.0000
319	2.0000	1.4184	1.4514
320	2.0000	1.4184	1.4514
321	2.0000	1.4184	1.4514
322	0.0000	0.0000	0.0000
323	0.0000	0.0000	0.0000
324	2.0000	1.4184	1.4514
325	2.0000	1.4184	1.4514
326	2.0000	1.4184	1.4514
327	2.0000	1.4184	1.4514
328	0.0000	0.0000	0.0000
329	2.0000	1.4184	1.4514
330	2.0000	1.4184	1.4514
331	0.0000	0.0000	0.0000
332	0.0000	0.0000	0.0000
333	2.0000	1.4184	1.4514
334	2.0000	1.4184	1.4514
335	2.0000	1.4184	1.4514
336	2.0000	1.4184	1.4514
337	0.0000	0.0000	0.0000
338	2.0000	1.4184	1.4514
339	2.0000	1.4184	1.4514
340	2.0000	1.4184	1.4514
341	0.0000	0.0000	0.0000
342	0.0000	0.0000	0.0000
343	0.0000	0.0000	0.0000
344	2.0000	1.4184	1.4514
345	2.0000	1.4184	1.4514
346	2.0000	1.4184	1.4514
347	2.0000	1.4184	1.4514
348	0.0000	0.0000	0.0000
349	2.0000	1.4184	1.4514
350	2.0000	1.4184	1.4514
351	0.0000	0.0000	0.0000
352	0.0000	0.0000	0.0000
353	2.0000	1.4184	1.4514
354	0.0000	0.0000	0.0000
355	2.0000	1.4184	1.4514
356	0.0000	0.0000	0.0000
357	2.0000	1.4184	1.4514
358	2.0000	1.4184	1.4514
359	0.0000	0.0000	0.0000
360	0.0000	0.0000	0.0000
361	2.0000	1.4184	1.4514
362	2.0000	1.4184	1.4514
363	2.0000	1.4184	1.4514
364	2.0000	1.4184	1.4514
365	0.0000	0.0000	0.0000
366	0.0000	0.0000	0.0000
367	2.0000	1.4184	1.4514
368	0.0000	0.0000	0.0000
369	2.0000	1.4184	1.4514
370	0.0000	0.0000	0.0000
371	2.0000	1.4184	1.4514
372	0.0000	0.0000	0.0000
373	0.0000	0.0000	0.0000
374	2.0000	1.4184	1.4514
375	2.0000	1.4184	1.4514
376	0.0000	0.0000	0.0000
377	2.0000	1.4184	1.4514
378	2.0000	1.4184	1.4514
379	0.0000	0.0000	0.0000
380	2.0000	1.4184	1.4514
381	0.0000	0.0000	0.0000
382	0.0000	0.0000	0.0000
383	0.0000	0.0000	0.0000
384	0.0000	0.0000	0.0000
385	2.0000	1.4184	1.4514
386	2.0000	1.4184	1.4514
387	2.0000	1.4184	1.4514
388	0.0000	0.0000	0.0000
389	0.0000	0.0000	0.0000
390	2.0000	1.4184	1.4514
391	2.0000	1.4184	1.4514
392	2.0000	1.4184	1.4514
393	2.0000	1.4184	1.4514
394	0.0000	0.0000	0.0000
395	2.0000	1.4184	1.4514
396	2.0000	1.4184	1.4514
397	0.0000	0.0000	0.0000
398	2.0000	1.4184	1.4514
399	0.0000	0.0000	0.0000
400	2.0000	1.4184	1.4514
401	2.0000	1.4184	1.4514
402	0.0000	0.0000	0.0000
403	0.0000	0.0000	0.0000
404	2.0000	1.4184	1.4514
405	2.0000	1.4184	1.4514
406	0.0000	0.0000	0.0000
407	0.0000	0.0000	0.0000
408	0.0000	0.0000	0.0000
409	2.0000	1.4184	1.4514
410	0.0000	0.0000	0.0000
411	0.0000	0.0000	0.0000
412	2.0000	1.4184	1.4514
413	2.0000	1.4184	1.4514
414	2.0000	1.4184	1.4514
415	2.0000	1.4184	1.4514
416	2.0000	1.4184	1.4514
417	0.0000	0.0000	0.0000
418	2.0000	1.4184	1.4514
419	0.0000	0.0000	0.0000
420	2.0000	1.4184	1.4514
421	2.0000	1.4184	1.4514
422	2.0000	1.4184	1.4514
423	2.0000	1.4184	1.4514
424	2.0000	1.4184	1.4514
425	0.0000	0.0000	0.0000
426	0.0000	0.0000	0.0000
427	2.0000	1.4184	1.4514
428	2.0000	1.4184	1.4514
429	2.0000	1.4184	1.4514
430	2.0000	1.4184	1.4514
431	0.0000	0.0000	0.0000
432	2.0000	1.4184	1.4514
433	2.0000	1.4184	1.4514
434	0.0000	0.0000	0.0000
435	2.0000	1.4184	1.4514
436	2.0000	1.4184	1.4514
437	0.0000	0.0000	0.0000
438	0.0000	0.0000	0.0000
439	2.0000	1.4184	1.4514
440	2.0000	1.4184	1.4514
441	2.0000	1.4184	1.4514
442	2.0000	1.4184	1.4514
443	2.0000	1.4184	1.4514
444	0.0000	0.0000	0.0000
445	0.0000	0.0000	0.0000
446	2.0000	1.4184	1.4514
447	2.0000	1.4184	1.4514
448	2.0000	1.4184	1.4514
449	0.0000	0.0000	0.0000
450	0.0000	0.0000	0.0000
451	2.0000	1.4184	1.4514
452	2.0000	1.4184	1.4514
453	0.0000	0.0000	0.0000
454	2.0000	1.4184	1.4514
455	0.0000	0.0000	0.0000
456	2.0000	1.4184	1.4514
457	2.0000	1.4184	1.4514
458	0.0000	0.0000	0.0000
459	2.0000	1.4184	1.4514
460	2.0000	1.4184	1.4514
461	2.0000	1.4184	1.4514
462	2.0000	1.4184	1.4514
463	2.0000	1.4184	1.4514
464	2.0000	1.4184	1.4514
465	2.0000	1.4184	1.4514
466	2.0000	1.4184	1.4514
467	2.0000	1.4184	1.4514
468	2.0000	1.4184	1.4514
469	2.0000	1.4184	1.4514
470	2.0000	1.4184	1.4514
471	2.0000	1.4184	1.4514
472	2.0000	1.4184	1.4514
473	0.0000	0.0000	0.0000
474	0.0000	0.0000	0.0000
475	0.0000	0.0000	0.0000
476	0.0000	0.0000	0.0000
477	0.0000	0.0000	0.0000
478	2.0000	1.4184	1.4514
479	0.0000	0.0000	0.0000
480	2.0000	1.4184	1.4514
481	0.0000	0.0000	0.0000
482	2.0000	1.4184	1.4514
483	2.0000	1.4184	1.4514
484	2.0000	1.4184	1.4514
485	2.0000	1.4184	1.4514
486	2.0000	1.4184	1.4514
487	2.0000	1.4184	1.4514
488	2.0000	1.4184	1.4514
489	0.0000	0.0000	0.0000
490	2.0000	1.4184	1.4514
491	2.0000	1.4184	1.4514
492	2.0000	1.4184	1.4514
493	2.0000	1.4184	1.4514
494	2.0000	1.4184	1.4514
495	0.0000	0.0000	0.0000
496	0.0000	0.0000	0.0000
497	0.0000	0.0000	0.0000
498	2.0000	1.4184	1.4514
499	0.0000	0.0000	0.0000
500	2.0000	1.4184	1.4514
501	2.0000	1.4184	1.4514
502	2.0000	1.4184	1.4514
503	0.0000	0.0000	0.0000
504	2.0000	1.4184	1.4514
505	2.0000	1.4184	1.4514
506	2.0000	1.4184	1.4514
507	0.0000	0.0000	0.0000
508	2.0000	1.4184	1.4514
509	2.0000	1.4184	1.4514
510	2.0000	1.4184	1.4514
511	2.0000	1.4184	1.4514
512	0.0000	0.0000	0.0000
513	2.0000	1.4184	1.4514
514	0.0000	0.0000	0.0000
515	0.0000	0.0000	0.0000
516	2.0000	1.4184	1.4514
517	2.0000	1.4184	1.4514
518	0.0000	0.0000	0.0000
519	2.0000	1.4184	1.4514
520	2.0000	1.4184	1.4514
521	2.0000	1.4184	1.4514
522	2.0000	1.4184	1.4514
523	2.0000	1.4184	1.4514
524	2.0000	1.4184	1.4514
525	2.0000	1.4184	1.4514
526	2.0000	1.4184	1.4514
527	2.0000	1.4184	1.4514
528	2.0000	1.4184	1.4514
529	2.0000	1.4184	1.4514
530	2.0000	1.4184	1.4514
531	0.0000	0.0000	0.0000
532	2.0000	1.4184	1.4514
533	0.0000	0.0000	0.0000
534	2.0000	1.4184	1.4514
535	2.0000	1.4184	1.4514
536	2.0000	1.4184	1.4514
537	2.0000	1.4184	1.4514
538	0.0000	0.0000	0.0000
539	0.0000	0.0000	0.0000
540	2.0000	1.4184	1.4514
541	2.0000	1.4184	1.4514
542	0.0000	0.0000	0.0000
543	0.0000	0.0000	0.0000
544	2.0000	1.4184	1.4514
545	2.0000	1.4184	1.4514
546	0.0000	0.0000	0.0000
547	2.0000	1.4184	1.4514
548	2.0000	1.4184	1.4514
549	2.0000	1.4184	1.4514
550	2.0000	1.4184	1.4514
551	2.0000	1.4184	1.4514
552	2.0000	1.4184	1.4514
553	2.0000	1.4184	1.4514
554	2.0000	1.4184	1.4514
555	2.0000	1.4184	1.4514
556	0.0000	0.0000	0.0000
557	2.0000	1.4184	1.4514
558	0.0000	0.0000	0.0000
559	2.0000	1.4184	1.4514
560	2.0000	1.4184	1.4514
561	2.0000	1.4184	1.4514
562	2.0000	1.4184	1.4514
563	0.0000	0.0000	0.0000
564	2.0000	1.4184	1.4514
565	0.0000	0.0000	0.0000
566	0.0000	0.0000	0.0000
567	2.0000	1.4184	1.4514
568	0.0000	0.0000	0.0000
569	2.0000	1.4184	1.4514
570	2.0000	1.4184	1.4514
571	0.0000	0.0000	0.0000
572	0.0000	0.0000	0.0000
573	2.0000	1.4184	1.4514
574	2.0000	1.4184	1.4514
575	2.0000	1.4184	1.4514
576	0.0000	0.0000	0.0000
577	0.0000	0.0000	0.0000
578	0.0000	0.0000	0.0000
579	2.0000	1.4184	1.4514
580	2.0000	1.4184	1.4514
581	2.0000	1.4184	1.4514
582	0.0000	0.0000	0.0000
583	0.0000	0.0000	0.0000
584	2.0000	1.4184	1.4514
585	0.0000	0.0000	0.0000
586	0.0000	0.0000	0.0000
587	0.0000	0.0000	0.0000
588	2.0000	1.4184	1.4514
589	2.0000	1.4184	1.4514
590	0.0000	0.0000	0.0000
591	2.0000	1.4184	1.4514
592	2.0000	1.4184	1.4514
593	0.0000	0.0000	0.0000
594	2.0000	1.4184	1.4514
595	0.0000	0.0000	0.0000
596	0.0000	0.0000	0.0000
597	2.0000	1.4184	1.4514
598	2.0000	1.4184	1.4514
599	0.0000	0.0000	0.0000
